system,path,name,size,attrhex,attrstr,created,accessed,modified,companyname,filedescription,fileversion,internalname,legalcopyright,originalfilename,productname,productversion,cert_exists,cert_verified,cert_result,cert_comment,cert_signer,cert_type,md5,sha1,sha256
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.ModernSync.dll","14336","0x20","ARCHIVE","2018-09-15T07:37:52Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.ModernSync.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.ModernSync.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","4a1dbbd6296c6f6cd1a50689c9c9ef74","a6efda8366af64f3899a6f75183b64b8f380d928","1abc1f427e02c7868d219586d6c45751ede13b45d2eb7c40b520997b22ab625e"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.MonitorSyncProvider.dll","8192","0x20","ARCHIVE","2018-09-15T07:37:51Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.MonitorSyncProvider.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.MonitorSyncProvider.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","d7618a0211be255e408c9bc48eecc6e0","22ee19ac36dfb6eaf24319d1d3bbc331049d9e49","04010bfea1a18bf36ea3656d1c85d3ac74a132de405378577ad926cfc408110b"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.Office2010CustomActions.dll","45056","0x20","ARCHIVE","2018-09-15T07:37:54Z","2018-09-15T17:41:02Z","2018-09-15T17:41:02Z","Microsoft Corporation","Microsoft.Uev.Office2010CustomActions DLL","10.0.17763.1 (WinBuild.160101.0800)","Microsoft.Uev.Office2010CustomActions DLL","&#169; Microsoft Corporation. All rights reserved.","Microsoft.Uev.Office2010CustomActions.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","4a2a01143fc21a79add32fe7a59eaedb","b50a0c4497803c758704983b213cf392d1f11644","7475e6403f7968c984b3a48b96fafb2586b4ef2252a1bdedd0c756196980756a"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.Office2013CustomActions.dll","738816","0x20","ARCHIVE","2018-09-15T07:37:54Z","2018-09-15T17:41:02Z","2018-09-15T17:41:02Z","Microsoft Corporation","Microsoft.Uev.Office2013CustomActions DLL","10.0.17763.1 (WinBuild.160101.0800)","Microsoft.Uev.Office2013CustomActions DLL","&#169; Microsoft Corporation. All rights reserved.","Microsoft.Uev.Office2013CustomActions.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","add2e4aa3a29e787973b5cfd824c80c9","922d733867f956d7309c92146ea8630f83732273","dcf2f22c9e15de7fafcb8008b0d47612da9b6763eaa116010b59f7a84f6e1950"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.PrinterCustomActions.dll","760832","0x20","ARCHIVE","2019-03-12T06:33:05Z","2019-03-12T06:33:05Z","2019-03-12T06:33:05Z","Microsoft Corporation","Microsoft.Uev.PrinterCustomActions DLL","10.0.17763.348 (WinBuild.160101.0800)","Microsoft.Uev.PrinterCustomActions DLL","&#169; Microsoft Corporation. All rights reserved.","Microsoft.Uev.PrinterCustomActions.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.348","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","cee9a2fc0282dabf0b979305f6d83b1e","383ef4bfbc9266996b6433778db87fd781247247","64f328d66bd3cbfe6a052beb0687e9c8c4b31f5fd0970fb79b9e7ff1c8329b19"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.SmbSyncProvider.dll","11264","0x20","ARCHIVE","2018-09-15T07:37:51Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.SmbSyncProvider.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.SmbSyncProvider.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","75a9334f948fe2aa35809a3f101ab970","f80f49abb7dd2c94348135990c7721d21f1fa9a1","67a7a534b8a8fc221383529c7bbab0fe9afcd67287ed6a81f0ecbe96ba9c9cc3"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.SyncCommon.dll","19456","0x20","ARCHIVE","2018-09-15T07:37:51Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.SyncCommon.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.SyncCommon.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","841b07f5cbac2662c72fe8e7b6e41ca5","86c166130dc7f062f21163bfda752afa433d1ec6","85c8a8aa2680f7cb53f111b56d93687e92fd9d00e76243b9b6195ae4de5f1431"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.SyncConditions.dll","7680","0x20","ARCHIVE","2018-09-15T07:37:51Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.SyncConditions.dll","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.SyncConditions.dll","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","35eb70242c1bb101d3a60246c5a54623","34436d75da7c9a06dab41156a71d43bb64a0b635","411d421517465b191e0995b220ec3e00635508a923be5d5e13558de936c85b0b"
"CrowdResponse","C:\Windows\system32\","Microsoft.Uev.SyncController.exe","83456","0x20","ARCHIVE","2018-09-15T07:37:51Z","2018-09-15T17:41:09Z","2018-09-15T17:41:09Z","Microsoft Corporation"," ","10.0.17763.1","Microsoft.Uev.SyncController.exe","Copyright (c) Microsoft Corporation. All rights reserved.","Microsoft.Uev.SyncController.exe","Microsoft (R) Windows (R) Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","a15e06a45812cde8b959c1bc0f64a619","80053ebc91a7ef419c4a00ad5e568bac9b5d3f0f","e45da137ba831e3fa0ea5a5b016742d1d64054702a553917cc87dd9add83fcfe"
"CrowdResponse","C:\Windows\system32\","MicrosoftAccountCloudAP.dll","271872","0x20","ARCHIVE","2018-09-15T07:28:30Z","2023-09-20T10:23:43Z","2018-09-15T07:28:30Z","Microsoft Corporation","MicrosoftAccount Cloud AP Plugin","10.0.17763.1 (WinBuild.160101.0800)","MicrosoftAccountCloudAP.dll","&#169; Microsoft Corporation. All rights reserved.","MicrosoftAccountCloudAP.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","d4353522d93393167d3436b61291c2e8","ce1156cd4b1af147fe173c2650055544bf961e8e","f0ac705c256998311db64c5e2cbcdf84286e1875dd0bd113559401d17dfdcbac"
"CrowdResponse","C:\Windows\system32\","MicrosoftAccountExtension.dll","413184","0x20","ARCHIVE","2018-09-15T07:28:30Z","2023-09-04T10:22:57Z","2018-09-15T07:28:30Z","Microsoft Corporation","Microsoft Account Extension DLL","10.0.17763.1 (WinBuild.160101.0800)","Microsoft Account Extension DLL","&#169; Microsoft Corporation. All rights reserved.","MicrosoftAccountExtensionServer.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","f66cb70ec7b9ec47c96e28b8f5806e6d","bc3c44a7de797db64a55ce99f973d1885be23b15","ff0dfeffc42d71795f890ba7cc961a6da295eee3a88ce6c792cf161113c35791"
"CrowdResponse","C:\Windows\system32\","MicrosoftAccountTokenProvider.dll","227840","0x20","ARCHIVE","2018-09-15T07:28:30Z","2023-09-18T11:04:03Z","2018-09-15T07:28:30Z","Microsoft Corporation","Microsoft&#174; Account Token Provider","10.0.17763.1 (WinBuild.160101.0800)","MicrosoftAccountTokenProvider.dll","&#169; Microsoft Corporation. All rights reserved.","MicrosoftAccountTokenProvider.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","75d47a509e41cb0c578a9fe7b177012c","a50471b83936c09f20a82b79bffbc5d661abbd47","141c03688f889730a79cd32ab3e8d033f884b68d52e838442cebcb122e759201"
"CrowdResponse","C:\Windows\system32\","MicrosoftAccountWAMExtension.dll","460288","0x20","ARCHIVE","2018-09-15T07:28:30Z","2023-10-06T17:37:38Z","2018-09-15T07:28:30Z","Microsoft Corporation","Microsoft Account WAM Extension DLL","10.0.17763.1 (WinBuild.160101.0800)","Microsoft Account WAM Extension DLL","&#169; Microsoft Corporation. All rights reserved.","MicrosoftAccountWAMExtension.dll","Microsoft&#174; Windows&#174; Operating System","10.0.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","dcc42d7f07863cdec233866a46f898a9","28ae7e0227e06831468b450cf0dadbd0df4e98e1","7ac869b352cd6e1c6b1cbf815d66501dd11b651b9e856b7cd049589466c391ad"
"CrowdResponse","C:\Windows\system32\","MicrosoftEdgeBCHost.exe","104960","0x20","ARCHIVE","2018-09-15T07:28:24Z","2018-09-15T07:28:24Z","2018-09-15T07:28:24Z","Microsoft Corporation","Microsoft Edge Content Process","11.00.17763.1 (WinBuild.160101.0800)","MicrosoftEdgeCP","&#169; Microsoft Corporation. All rights reserved.","MicrosoftEdgeCP.exe","Microsoft Edge Web Platform","11.00.17763.1","TRUE","TRUE","SUCCESS","The file is signed and the signature was verified","Microsoft Windows","Catalog","3fae70080e7d900a469355c85adacbdb","dea5960571532f73d886f5dd79b0f7eed6f10582","34b6d32d2345db5dfe803573f4aa74479ea961004b2f72d25a486d55369aecd8"
